% Model,plasmaBDistributionWithShielding.mph
% Version,COMSOL 5.5.0.359
% Date,"Jan 24 2021, 13:35"
% Dimension,2
% Nodes,40000
% Expressions,1
% Description,
% Length unit,m
% R,Z,real(mf.Br) (T) @ freq=1
9.0E-4,-0.2388,-4.011340245966886E-8
9.0E-4,-0.2364,-1.81462006425018E-5
9.0E-4,-0.23399999999999999,-0.0013495962333400814
9.0E-4,-0.2316,-0.0014862487731022844
9.0E-4,-0.22920000000000001,-0.001515783623484642
9.0E-4,-0.2268,-0.001597230645856935
9.0E-4,-0.2244,-0.0016733614700061572
9.0E-4,-0.22199999999999998,-0.001734364123787778
9.0E-4,-0.21960000000000002,-0.0018244323739331214
9.0E-4,-0.2172,-0.0018864291450475812
9.0E-4,-0.2148,-0.001988195429181938
9.0E-4,-0.21239999999999998,-0.0020524640712138442
9.0E-4,-0.20999999999999996,-0.0021659032124826463
9.0E-4,-0.2076,-0.002233689738797768
9.0E-4,-0.2052,-0.0023590129717422845
9.0E-4,-0.20279999999999998,-0.0024306178724908868
9.0E-4,-0.20039999999999997,-0.0025686855965751237
9.0E-4,-0.198,-0.002643736055123239
9.0E-4,-0.1956,-0.002795590455326881
9.0E-4,-0.19319999999999998,-0.002873321933537657
9.0E-4,-0.19079999999999997,-0.0030397550475532997
9.0E-4,-0.18839999999999998,-0.0031192640742855903
9.0E-4,-0.186,-0.0033005629005779594
9.0E-4,-0.1836,-0.0033808006796144435
9.0E-4,-0.18119999999999997,-0.003576574279135346
9.0E-4,-0.17880000000000001,-0.003656321628030811
9.0E-4,-0.17639999999999997,-0.0038651990328103444
9.0E-4,-0.174,-0.003943094099833985
9.0E-4,-0.1716,-0.004162375472384523
9.0E-4,-0.16920000000000002,-0.004236917317102908
9.0E-4,-0.1668,-0.004462201051800757
9.0E-4,-0.1644,-0.004531726041895848
9.0E-4,-0.16199999999999998,-0.004756464870997373
9.0E-4,-0.1596,-0.004819163319491369
9.0E-4,-0.1572,-0.005034163205520796
9.0E-4,-0.1548,-0.005088147986264141
9.0E-4,-0.15239999999999998,-0.005281064463824342
9.0E-4,-0.15,-0.005324494347072797
9.0E-4,-0.1476,-0.005479403336118113
9.0E-4,-0.1452,-0.0055106674414777046
9.0E-4,-0.14279999999999998,-0.0056078273442986964
9.0E-4,-0.14039999999999997,-0.005625789027778668
9.0E-4,-0.138,-0.005641733245028736
9.0E-4,-0.1356,-0.005646024623359113
9.0E-4,-0.13319999999999999,-0.005623748999711154
9.0E-4,-0.13079999999999997,-0.005545463629072403
